Importers	Exported value in 2020	Exported value in 2021	Exported value in 2022	Exported value in 2023	Exported value in 2024	
"Chad"	10	64	143	41	45	
"Korea, Democratic People's Republic of"	0				34	
"Djibouti"	22	55	551	164	30	
"Iran, Islamic Republic of"	3949	978	15	373	30	
"Guinea-Bissau"	0	31			22	
"Comoros"	0			27	22	
"Equatorial Guinea"	1		10	524	18	
"Bermuda"	0	22	34	140	18	
"Burundi"	0	16	25	1522	15	
"Bouvet Island"	0				14	
"Guam"	0			1	12	
"Montenegro"	5		504	73	12	
"Sint Maarten (Dutch part)"	0		1	13	11	
"Antigua and Barbuda"	0	9			11	
"Kiribati"	27	23		3	9	
"Saint Kitts and Nevis"	0				9	
"Sao Tome and Principe"	18	13			8	
"Suriname"	197	50	22	10	8	
"Micronesia, Federated States of"	0				6	
"Lesotho"	0		1		5	
"Aruba"	0				5	
"Seychelles"	27	20	52	53	4	
"Cabo Verde"	0	24	1	16	3	
"Haiti"	80	135	1	1	2	
"Niger"	3	32	43	1	2	
"Niue"	0				1	
"Solomon Islands"	6	11	25	48	1	
"Grenada"	0		266		1	
"Curaçao"	0			2	1	
"Samoa"	5	11		7	1	
"Gibraltar"	0	1				
"Oceania Nes"	0	0				
"Europe Othr. Nes"	0		2			
"America not elsewhere specified"	0		11			
"Barbados"	0	2	94			
"Central African Republic"	138	6				
"Dominica"	39	588	59	26		
"French Polynesia"	4	8	11			
"Gambia"	0	8	6	33		
"Palau"	0	2				
"Eswatini"	4					
"Turks and Caicos Islands"	9					
